监测点,城市,经度,纬度,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
路桥田洋王,台州,121.377,28.5773,54,50,37,44,35,29,23,24,26,30,35,48
黄岩环保大楼,台州,121.273,28.6459,47,49,36,39,32,26,20,20,23,26,29,38
台州环保大楼,台州,121.419,28.6542,55,53,42,43,33,28,23,23,25,29,35,47
十五中,金华,119.647,29.077,69,54,49,42,40,32,28,29,34,40,46,66
监测站,金华,119.686,29.1029,65,56,49,43,39,31,27,29,35,40,43,63
千岛湖,杭州,119.026,29.635,40,41,30,29,29,22,20,23,26,27,24,37
钱湖水厂,宁波,121.633,29.7736,60,49,37,36,31,24,20,20,26,31,41,63
万里学院,宁波,121.56,29.8208,64,53,42,40,34,27,23,23,29,35,46,67
市环境监测中心,宁波,121.524,29.8506,64,53,43,42,34,29,23,21,27,32,44,65
太古小学,宁波,121.586,29.8633,62,51,41,38,33,27,23,22,27,32,43,63
三江中学,宁波,121.554,29.8906,64,52,44,44,36,28,23,23,29,35,48,68
区环保大楼,宁波,121.836,29.9108,52,44,32,35,30,26,22,20,23,24,35,52
普陀东港,舟山,122.3094,29.9558,37,36,25,26,23,19,17,17,17,17,22,32
龙赛医院,宁波,121.713,29.9572,60,50,40,41,34,31,25,22,26,30,43,61
城东开发委,绍兴,120.605,29.9919,73,61,52,43,40,32,28,30,35,39,49,74
临城新区,舟山,122.19,29.9944,43,38,29,31,26,22,19,18,18,20,25,37
定海檀枫,舟山,122.122,30.0203,40,38,27,27,23,19,19,17,17,19,24,36
袍江站,绍兴,120.598,30.0911,77,59,53,47,44,33,28,30,35,39,53,75
云栖,杭州,120.088,30.1808,59,50,45,38,35,26,22,22,27,30,38,56
城厢镇,杭州,120.27,30.1819,79,65,59,50,47,36,29,28,35,39,49,75
滨江,杭州,120.211,30.21,74,65,58,49,47,35,30,28,34,38,48,71
卧龙桥,杭州,120.127,30.2456,70,61,52,44,42,32,27,26,33,37,42,63
浙江农大,杭州,120.19,30.2692,81,64,56,48,45,33,27,27,34,38,48,71
西溪,杭州,120.063,30.2747,68,58,53,43,42,32,27,26,34,35,39,63
